거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
2023.12.22,,0,0,"5,000,000",0,0,"5,000,000",63981494-21 서동환,
Smart+당사이체입금,,0,0,"5,000,000",0,0,0,스마트폰,
2023.12.27,,0,0,"1,000,000",0,0,"6,000,000",63981494-01 서동환,
Smart+당사이체입금,,0,0,"1,000,000",0,0,0,스마트폰,
2024.1.2,KODEX KOFR금리액티브(합성),50,0,"5,266,000",221,50,"733,779",,
Smart+거래소주식매수,,"105,320",0,"5,266,221",0,0,0,스마트폰,
2024.1.2,KBSTAR 미국채30년엔화노출(합성 H),10,0,"98,950",4,10,"634,825",,
Smart+거래소주식매수,,"9,895",0,"98,954",0,0,0,스마트폰,
2024.1.3,KBSTAR 미국채30년엔화노출(합성 H),10,0,"100,600",4,20,"534,221",,
Smart+거래소주식매수,,"10,060",0,"100,604",0,0,0,스마트폰,
2024.1.4,KBSTAR 미국채30년엔화노출(합성 H),10,0,"99,750",4,30,"434,467",,
Smart+거래소주식매수,,"9,975",0,"99,754",0,0,0,스마트폰,
2024.1.5,KBSTAR 미국채30년엔화노출(합성 H),10,0,"100,000",4,40,"334,463",,
Smart+거래소주식매수,,"10,000",0,"100,004",0,0,0,스마트폰,
2024.1.8,KBSTAR 미국채30년엔화노출(합성 H),20,0,"198,350",8,60,"136,105",,
Smart+거래소주식매수,,"9,917",0,"198,358",0,0,0,스마트폰,
2024.1.9,KBSTAR 미국채30년엔화노출(합성 H),44,0,"427,450",17,104,"-291,362",,
Smart+거래소주식매수,,"9,714",0,"136,105",0,0,0,스마트폰,
2024.1.9,KODEX KOFR금리액티브(합성),10,0,"1,054,300",44,40,"762,894",,
Smart+거래소주식매도,,"105,430",0,"762,894",0,0,0,스마트폰,
2024.1.10,KBSTAR 미국채30년엔화노출(합성 H),16,0,"153,280",6,120,"609,608",,
Smart+거래소주식매수,,"9,580",0,"153,286",0,0,0,스마트폰,
2024.1.11,ACE 미국S&P500,20,0,"315,500",13,20,"294,095",,
Smart+거래소주식매수,,"15,775",0,"315,513",0,0,0,스마트폰,
2024.1.11,KODEX 미국반도체MV,1,0,"15,580",0,1,"278,515",,
Smart+거래소주식매수,,"15,580",0,"15,580",0,0,0,스마트폰,
2024.1.11,TIGER Fn반도체TOP10,10,0,"103,050",4,10,"175,461",,
Smart+거래소주식매수,,"10,305",0,"103,054",0,0,0,스마트폰,
2024.1.11,KBSTAR 미국반도체NYSE(H),1,0,"12,050",0,1,"163,411",,
Smart+거래소주식매수,,"12,050",0,"12,050",0,0,0,스마트폰,
2024.1.11,KBSTAR 미국채30년엔화노출(합성 H),10,0,"97,050",4,130,"66,357",,
Smart+거래소주식매수,,"9,705",0,"97,054",0,0,0,스마트폰,
2024.1.12,TIGER Fn반도체TOP10,10,0,"101,500",4,20,"-35,147",,
Smart+거래소주식매수,,"10,150",0,"66,357",0,0,0,스마트폰,
2024.1.12,KBSTAR 미국채30년엔화노출(합성 H),10,0,"96,990",4,140,"-132,141",,
Smart+거래소주식매수,,"9,699",0,0,0,0,0,스마트폰,
2024.1.12,KODEX KOFR금리액티브(합성),10,0,"1,054,600",44,30,"922,415",,
Smart+거래소주식매도,,"105,460",0,"922,415",0,0,0,스마트폰,
