거래일자,상품명,거래수량,거래금액,수수료,신청일자,
주문일자,거래상세유형,,정산금액,세금,거래채널/처리시간,
2024.9.6,현금성자산,13,13,0,,
,정기대기이자입금,,13,0,2:11:00,
2024.9.6,ACE 미국달러SOFR금리(합성),10,"108,650",0,,
,거래소주식[매도],,"108,650",0,1:26:39,
2024.9.6,TIGER KOFR금리액티브(합성),1,"106,455",0,,
,거래소주식[매수],,"106,455",0,1:26:39,
2024.9.6,KODEX 200미국채혼합,1,"12,815",0,,
,거래소주식[매수],,"12,815",0,1:26:39,
2024.9.6,ACE KRX금현물,1,"15,455",0,,
,거래소주식[매수],,"15,455",0,1:26:39,
2024.9.6,ACE 미국S&P500,1,"18,605",0,,
,거래소주식[매수],,"18,605",0,1:26:39,
2024.9.5,현금성자산,23,23,0,,
,정기대기이자입금,,23,0,1:47:07,
2024.9.5,ACE 미국S&P500,1,"19,035",0,,
,거래소주식[매도],,"19,035",0,1:35:30,
2024.9.5,ACE 미국달러SOFR금리(합성),120,"1,300,800",0,,
,거래소주식[매도],,"1,300,800",0,1:35:30,
2024.9.5,KODEX 미국배당다우존스,38,"392,540",0,,
,거래소주식[매수],,"392,540",0,1:35:30,
2024.9.5,RISE 글로벌리얼티인컴,21,"220,605",0,,
,거래소주식[매수],,"220,605",0,1:35:30,
2024.9.5,KODEX 200미국채혼합,1,"12,990",0,,
,거래소주식[매수],,"12,990",0,1:35:30,
2024.9.5,KODEX 차이나CSI300,2,"20,090",0,,
,거래소주식[매수],,"20,090",0,1:35:30,
2024.9.5,ACE KRX금현물,50,"773,015",0,,
,거래소주식[매수],,"773,015",0,1:35:30,
2024.9.4,현금성자산,"100,000","100,000",0,,
,기본부담금,,"100,000",0,13:45:11,
2024.9.4,현금성자산,13,13,0,,
,정기대기이자입금,,13,0,1:41:30,
2024.9.3,RISE 글로벌리얼티인컴,0,"5,343",0,,
,ETF분배금입금,,"5,343",0,15:29:32,
2024.9.3,KODEX iShares미국하이일드액티브,0,"14,560",0,,
,ETF분배금입금,,"14,560",0,15:29:32,
2024.9.3,RISE 25-03 회사채(AA-이상)액티브,0,"14,696",0,,
,ETF분배금입금,,"14,696",0,15:29:32,
2024.9.3,현금성자산,"100,000","100,000",0,,
,기본부담금,,"100,000",0,9:32:31,
2024.9.2,현금성자산,1,1,0,,
,정기대기이자입금,,1,0,1:41:59,
2024.8.26,현금성자산,648,648,0,,
,정기대기이자입금,,648,0,1:36:36,
2024.8.26,ACE KRX금현물,18,"279,990",0,,
,거래소주식[매도],,"279,990",0,1:25:52,
2024.8.26,RISE 글로벌리얼티인컴,37,"383,320",0,,
,거래소주식[매수],,"383,320",0,1:25:52,
2024.8.26,ACE 미국달러SOFR금리(합성),200,"2,157,000",0,,
,거래소주식[매수],,"2,157,000",0,1:25:52,
2024.8.23,현금성자산,304,304,0,,
,정기대기이자입금,,304,0,1:40:02,
2024.8.23,TIGER KOFR금리액티브(합성),7,"744,135",0,,
,거래소주식[매도],,"744,135",0,1:28:05,
2024.8.23,RISE 글로벌리얼티인컴,100,"1,032,500",0,,
,거래소주식[매수],,"1,032,500",0,1:28:05,
2024.8.23,KODEX 미국배당다우존스,63,"630,795",0,,
,거래소주식[매수],,"630,795",0,1:28:05,
2024.8.22,현금성자산,304,304,0,,
,정기대기이자입금,,304,0,1:53:07,
2024.8.21,현금성자산,304,304,0,,
,정기대기이자입금,,304,0,1:50:22,
2024.8.20,현금성자산,261,261,0,,
,정기대기이자입금,,261,0,2:11:15,
2024.8.20,SOL 미국30년국채커버드콜(합성),300,"3,073,500",0,,
,거래소주식[매도],,"3,073,500",0,1:52:02,
2024.8.20,KODEX iShares미국하이일드액티브,120,"1,305,450",0,,
,거래소주식[매수],,"1,305,450",0,1:52:02,
2024.8.20,ACE 미국달러SOFR금리(합성),120,"1,318,800",0,,
,거래소주식[매수],,"1,318,800",0,1:52:02,
2024.8.19,현금성자산,"1,033","1,033",0,,
,정기대기이자입금,,"1,033",0,1:40:25,
2024.8.19,ACE 미국달러SOFR금리(합성),50,"550,500",0,,
,거래소주식[매수],,"550,500",0,1:26:38,
2024.8.19,KODEX iShares미국하이일드액티브,30,"326,700",0,,
,거래소주식[매수],,"326,700",0,1:26:38,
2024.8.16,현금성자산,689,689,0,,
,정기대기이자입금,,689,0,1:41:18,
2024.8.14,현금성자산,116,116,0,,
,정기대기이자입금,,116,0,1:45:11,
2024.8.14,TIGER KOFR금리액티브(합성),33,"3,504,765",0,,
,거래소주식[매도],,"3,504,765",0,1:34:28,
2024.8.14,ACE 미국달러SOFR금리(합성),100,"1,106,500",0,,
,거래소주식[매수],,"1,106,500",0,1:34:28,
2024.8.13,현금성자산,116,116,0,,
,정기대기이자입금,,116,0,1:43:45,
2024.8.12,현금성자산,378,378,0,,
,정기대기이자입금,,378,0,1:43:47,
2024.8.12,KODEX iShares미국하이일드액티브,10,"109,050",0,,
,거래소주식[매수],,"109,050",0,1:25:42,
2024.8.9,현금성자산,126,126,0,,
,정기대기이자입금,,126,0,2:41:07,
2024.8.8,현금성자산,126,126,0,,
,정기대기이자입금,,126,0,2:09:14,
2024.8.7,현금성자산,24,24,0,,
,정기대기이자입금,,24,0,3:19:35,
2024.8.7,ACE KRX금현물,1,"15,580",0,,
,거래소주식[매도],,"15,580",0,1:37:36,
2024.8.7,TIGER KOFR금리액티브(합성),24,"2,547,240",0,,
,거래소주식[매도],,"2,547,240",0,1:37:36,
